IsGood.Purchase,Critic.Ratings,Acq.Cost,CurrentAuctionAveragePrice,Brush.Size,CollectorsAverageprice,Is.It.Online.Sale,Min.Guarantee.Cost
0,8.9046,49700,52157,1,11433,0,7791
0,9.3593,53200,52192,1,11808,0,7371
0,7.3807,34300,28245,2,7802,0,9723
0,6.5617,28700,12908,1,4776,0,4410
0,6.9367,28000,22729,2,7034,0,7140
0,8.1054,39200,32963,2,8536,0,4158
0,6.5328,29400,20860,2,7707,0,3731
0,6.5805,31500,25991,2,7355,0,5775
0,4.9921,39200,44919,2,9836,0,3374
0,8.4872,53900,64169,1,483,0,11431
0,8.008,38500,39984,1,10701,0,9611
0,7.5419,37100,20097,1,5720,0,6083
1,7.9315,37800,33649,1,9199,0,11361
0,7.1254,54600,41832,2,9838,0,4802
0,7.4722,48300,55664,1,12789,0,11361
0,7.2132,23100,14896,2,4765,0,10185
0,8.0736,47600,53690,1,650,0,8701
0,7.5156,34300,24591,2,8450,0,13461
0,6.5925,39900,28749,2,7897,0,11921
0,8.4498,49700,52052,1,11629,0,8701
0,5.4586,33600,23149,2,6548,0,10857
0,6.6536,40600,30821,1,8069,0,14021
0,9.813,28700,17122,2,7788,0,39291
0,5.9789,53900,42434,2,10644,0,4697
0,6.5663,49000,49266,2,10838,0,5096
1,5.2106,31500,22120,1,7192,0,5278
0,8.8958,56000,38570,1,9325,0,17164
0,7.6173,61600,50113,1,11581,0,6440
0,6.5393,58800,55041,1,1242,0,9877
0,8.0064,39200,43225,1,10529,0,12341
0,7.7694,58100,48370,1,11183,0,13461
1,5.63,34300,21434,1,5927,0,8540
0,7.8241,66500,61719,2,85,0,9723
0,5.7723,49000,41720,1,9001,0,4697
0,7.8434,74900,81697,1,2616,0,8904
1,8.2944,25200,12880,1,4788,0,16254
0,7.6304,42700,35693,2,8819,0,10542
0,5.5711,35700,19033,1,5947,0,6797
0,7.6586,57400,59696,2,13007,0,9723
1,6.5078,59500,53683,NULL,12218,0,5096
